Site,Tree,PDI,DAI,PDI_unscaled,DAI_unscaled,AOD proximity
MOCCA,C1,0.712312169,0.230918894,0.067728599,-0.180330918,AOD
MOCCA,C2,0.684040393,0.174094668,0.046975141,-0.223372819,AOD
MOCCA,C3,0.583454585,0.080499343,-0.026861868,-0.294267242,AOD
MOCCA,C4,0.610268363,0.207453815,-0.007178681,-0.198104703,AOD
MOCCA,C5,0.647965461,0.139070719,0.020493621,-0.24990195,AOD
MOCCA,CE21,0.746584277,0.309605718,0.09288672,-0.120729041,AOD
MOCCA,CE22,0.624285428,0.215588665,0.003110823,-0.191942905,AOD
MOCCA,CE23,0.766394962,0.284465486,0.107429146,-0.139771683,AOD
MOCCA,CE24,0.787902504,0.242952927,0.123217184,-0.171215657,AOD
MOCCA,CE25,0.758151181,0.238071199,0.101377635,-0.174913355,AOD
MOCCA,CE26,0.745630349,0.176039586,0.09218647,-0.221899628,AOD
MOCCA,CE27,0.801412822,0.138803163,0.133134701,-0.250104613,AOD
MOCCA,CE28,0.710243282,0.207003267,0.066209891,-0.198445974,AOD
MOCCA,CE29,0.654407228,0.218425617,0.025222328,-0.189794037,AOD
MOCCA,CE30,0.617742472,0.254061816,-0.001692164,-0.162801152,AOD
MOCCA,E31,0.758013958,0.254728305,0.101276904,-0.162296316,AOD
MOCCA,E32,0.763045305,0.313773733,0.104970264,-0.11757195,AOD
MOCCA,E33,0.838231943,0.06826976,0.160162507,-0.303530624,AOD
MOCCA,E34,0.777237071,0.14687657,0.115388012,-0.243989355,AOD
MOCCA,E35,0.883189686,0.091057641,0.193164631,-0.286269787,AOD
MOCCA,E36,0.901625714,0.090273504,0.206697963,-0.286863737,AOD
