Plate,Well,F,R,SampleOrigin,SampleID,Site,Tissue,D2E_replicate,Tree,Date
8,H4,F8,R16,D2E,224,SLCY,LEAF,1,C4,18/10/2022
8,A5,F1,R17,D2E,227,CDS,ROOT,1,C4,18/10/2022
8,B5,F2,R17,D2E,240,MALDW,LEAF,1,C4,18/10/2022
8,C5,F3,R17,D2E,259,ANCST,ROOT,1,C5,18/10/2022
8,D5,F4,R17,D2E,264,MCOU,LEAF,1,C5,18/10/2022
8,E5,F5,R17,D2E,266,SLCY,LEAF,1,C5,18/10/2022
8,F5,F6,R17,D2E,PCR_Neg_Ctrol_4,NA,NA,NA,NA,NA
8,G5,F7,R17,D2E,306,LINEAG,ROOT,3,C1,18/10/2022
8,H5,F8,R17,D2E,316,DYMK,LEAF,2,C2,18/10/2022
8,A6,F1,R18,D2E,No_used_combination,No_used_combination,No_used_combination,No_used_combination,No_used_combination,No_used_combination
